vehicle,euroname,euroclass,technology,proportion,sourceCell,userCell,poltype,year,area
LPG LGV,5Euro 4,4,Standard,0.3042113417975898,B291,D291,NOx,2015,England (not London)
LPG LGV,6Euro 5,5,Standard,0.3800027967815032,B292,D292,NOx,2015,England (not London)
LPG LGV,7Euro 6,6,Standard,0.0,B293,D293,NOx,2015,England (not London)
B100 Rigid HGV,4Euro III,3,Standard,0.14659243666290747,B297,D297,NOx,2015,England (not London)
B100 Rigid HGV,5Euro IV,4,Standard,0.13782748666052386,B298,D298,NOx,2015,England (not London)
B100 Rigid HGV,6Euro V_EGR,5,EGR,0.0923983892728252,B299,D299,NOx,2015,England (not London)
B100 Rigid HGV,7Euro V_SCR,5,SCR,0.27719516781847564,B300,D300,NOx,2015,England (not London)
B100 Rigid HGV,8Euro VI,6,Standard,0.3459865195852679,B301,D301,NOx,2015,England (not London)
B100 Rigid HGV,9Euro II SCRRF,2,SCR,0.0,B302,D302,NOx,2015,England (not London)
B100 Rigid HGV,10Euro III SCRRF,3,SCR,0.0,B303,D303,NOx,2015,England (not London)
B100 Rigid HGV,11Euro IV SCRRF,4,SCR,0.0,B304,D304,NOx,2015,England (not London)
B100 Rigid HGV,12Euro V EGR + SCRRF,5,EGR + SCRRF,0.0,B305,D305,NOx,2015,England (not London)
B100 Artic HGV,4Euro III,3,Standard,0.034860006862121935,B310,D310,NOx,2015,England (not London)
B100 Artic HGV,5Euro IV,4,Standard,0.06227183766357332,B311,D311,NOx,2015,England (not London)
B100 Artic HGV,6Euro V_EGR,5,EGR,0.09484641543070249,B312,D312,NOx,2015,England (not London)
B100 Artic HGV,7Euro V_SCR,5,SCR,0.2845392462921075,B313,D313,NOx,2015,England (not London)
B100 Artic HGV,8Euro VI,6,Standard,0.5234824937514947,B314,D314,NOx,2015,England (not London)
B100 Artic HGV,9Euro II SCRRF,2,SCR,0.0,B315,D315,NOx,2015,England (not London)
B100 Artic HGV,10Euro III SCRRF,3,SCR,0.0,B316,D316,NOx,2015,England (not London)
B100 Artic HGV,11Euro IV SCRRF,4,SCR,0.0,B317,D317,NOx,2015,England (not London)
