,year,euro,version,speed,vehicle,NOx (g/km/s/veh),PM10 (g/km/s/veh),PM2.5 (g/km/s/veh)
112,2013,0,7.0,120,1. Motorcycles,7.36268475521e-06,4.86549254219e-07,3.999419107e-07
113,2013,0,7.0,120,2. Petrol Cars,4.17167539126e-05,3.39296491347e-07,1.87109151284e-07
114,2013,0,7.0,120,3. Diesel Cars,9.50111007114e-06,2.64225946012e-06,2.37492395172e-06
115,2013,0,7.0,120,4. LGV,2.22540365939e-05,3.72310364583e-06,3.34544051839e-06
116,2013,0,7.0,120,5. Buses and Coaches,0.00010362402827,4.62644175059e-06,3.8118125758e-06
117,2013,0,7.0,120,6. Rigid HGVs,9.07170615392e-05,4.26741553383e-06,3.48624439539e-06
118,2013,0,7.0,120,7. Articulated HGVs,0.000125055827084,5.56328723178e-06,4.64951381218e-06
0,2013,1,7.0,5,1. Motorcycles,2.77103981716e-06,3.72371033563e-07,2.91472616709e-07
1,2013,1,7.0,5,2. Petrol Cars,1.16578194138e-05,3.50426716977e-07,1.97682851422e-07
2,2013,1,7.0,5,3. Diesel Cars,1.52847023855e-05,1.17562547075e-06,9.8162172435e-07
3,2013,1,7.0,5,4. LGV,1.97816516447e-05,1.74748254267e-06,1.46860031691e-06
4,2013,1,7.0,5,5. Buses and Coaches,0.000191068465938,9.17787383514e-06,8.13567294244e-06
5,2013,1,7.0,5,6. Rigid HGVs,0.000132811808726,8.28386509966e-06,7.30187139197e-06
6,2013,1,7.0,5,7. Articulated HGVs,0.000228276476264,1.30570460897e-05,1.17685849546e-05
7,2013,1,7.0,10,1. Motorcycles,2.46212039201e-06,3.72371033563e-07,2.91472616709e-07
8,2013,1,7.0,10,2. Petrol Cars,1.06076167867e-05,3.50405599647e-07,1.97662799906e-07
9,2013,1,7.0,10,3. Diesel Cars,1.52847023855e-05,1.17562547075e-06,9.8162172435e-07
10,2013,1,7.0,10,4. LGV,1.97798344743e-05,1.74748254267e-06,1.46860031691e-06
11,2013,1,7.0,10,5. Buses and Coaches,0.000191068465938,9.17787383514e-06,8.13567294244e-06
12,2013,1,7.0,10,6. Rigid HGVs,0.000132811808726,8.28386509966e-06,7.30187139197e-06
13,2013,1,7.0,10,7. Articulated HGVs,0.000228276476264,1.30570460897e-05,1.17685849546e-05
14,2013,1,7.0,15,1. Motorcycles,2.28016597248e-06,3.72371033563e-07,2.91472616709e-07
15,2013,1,7.0,15,2. Petrol Cars,9.6718167697e-06,3.50389939285e-07,1.97647921141e-07
16,2013,1,7.0,15,3. Diesel Cars,1.20995382531e-05,1.09465645437e-06,9.04701039417e-07
17,2013,1,7.0,15,4. LGV,1.81886443897e-05,1.58623117841e-06,1.31541150949e-06
18,2013,1,7.0,15,5. Buses and Coaches,0.000158473747433,7.80665232014e-06,6.83301277604e-06
19,2013,1,7.0,15,6. Rigid HGVs,0.000117242365377,7.1391673373e-06,6.21440858595e-06
20,2013,1,7.0,15,7. Articulated HGVs,0.000204230542295,1.1725587683e-05,1.05036997411e-05
21,2013,1,7.0,20,1. Motorcycles,2.19525077227e-06,3.72371033563e-07,2.91472616709e-07
22,2013,1,7.0,20,2. Petrol Cars,8.82189306139e-06,3.5037871271e-07,1.97637248789e-07
23,2013,1,7.0,20,3. Diesel Cars,1.01753257695e-05,1.02404760582e-06,8.37622735617e-07
24,2013,1,7.0,20,4. LGV,1.68031201611e-05,1.44431885474e-06,1.18059483611e-06
25,2013,1,7.0,20,5. Buses and Coaches,0.000132400760776,6.57307600704e-06,5.66111521039e-06
26,2013,1,7.0,20,6. Rigid HGVs,0.000100299097539,5.93585718889e-06,5.07126424054e-06
27,2013,1,7.0,20,7. Articulated HGVs,0.000177036796231,9.92295099422e-06,8.79119397723e-06
28,2013,1,7.0,25,1. Motorcycles,2.18445029532e-06,3.72371033563e-07,2.91472616709e-07
29,2013,1,7.0,25,2. Petrol Cars,7.98602377472e-06,3.50370953583e-07,1.97629873355e-07
30,2013,1,7.0,25,3. Diesel Cars,8.9230852609e-06,9.63797333497e-07,7.80384937116e-07
